812.789 644.592      812.885 644.143      -0.0960662 0.448823
1132.06 1039.57      1131.73 1039.1      0.328386 0.4714
82.276 675.494      82.6815 675.838      -0.405402 -0.344
942.03 1191.49      941.684 1190.78      0.345646 0.713022
1287.27 1503.77      1286.31 1502.47      0.958377 1.3008
647.17 581.007      646.903 581.332      0.267767 -0.324988
784.338 1072.17      784.387 1071.51      -0.0493193 0.663628
602.119 1146.02      602.067 1145.24      0.0520049 0.780778
147.755 792.441      148.461 792.476      -0.705666 -0.0351791
360.977 610.755      361.268 611.16      -0.289974 -0.404472
806.268 604.158      804.941 603.668      1.32761 0.490474
371.93 915.308      372.142 915.159      -0.212013 0.147486
1114.01 526.639      1113.04 526.641      0.963626 -0.000982067
19.9362 1071.16      20.8573 1070.43      -0.921065 0.725168
517.973 561.611      518.319 562.038      -0.341706 -0.422881
343.608 1582.41      343.789 1580.79      -0.1812 1.62475
1067.77 409.7      1067.02 409.543      0.748626 0.157316
251.364 1562.99      251.45 1561.58      -0.0867171 1.40218
-754.004 155.237      -752.396 156.053      -1.60781 -0.815266
-109.144 -158.137      -108.801 -157.348      -0.342155 -0.787983
537.481 1313.77      536.879 1312.99      0.602608 0.778507
132.978 799.68      132.904 799.448      0.0742124 0.231923
1160.03 1970.29      1158.89 1968.49      1.13851 1.80059
627.462 1497.93      627.261 1496.76      0.200987 1.17521
247.858 1480.58      247.585 1479.18      0.273247 1.40204
586.965 844.463      587.267 843.465      -0.302316 0.995795
1256.91 819.348      1256.05 819.552      0.852092 -0.203506
1337.13 840.502      1336.05 840.643      1.08278 -0.141377
463.739 1223.55      464.405 1223.04      -0.665531 0.51822
-56.9378 917.339      -56.4068 917.051      -0.530789 0.287175
1081.57 485.85      1080.62 486.16      0.951514 -0.306649
974.264 1468.29      973.976 1466.75      0.288388 1.53803
742.883 717.081      742.428 715.991      0.454805 1.09022
-152.896 522.106      -151.883 521.69      -1.01202 0.41578
1316.04 1077.68      1315.19 1077.41      0.850886 0.268183
844.304 1829.49      843.839 1827.73      0.465356 1.75255
892.442 817.326      891.643 817.12      0.798832 0.204705
1367.02 1235.75      1366 1234.74      1.02096 1.00782
414.869 828.624      414.91 828.643      -0.0404564 -0.019715
1047.55 858.779      1046.93 858.26      0.615063 0.519204
931.769 466.542      931.884 466.521      -0.11486 0.020725
1256.69 336.966      1256.18 337.577      0.5115 -0.609966
1273.05 731.335      1272.35 731.213      0.699865 0.121295
627.255 481.085      626.651 481.107      0.60462 -0.0215901
-19.1762 1230.08      -18.2881 1229.56      -0.88775 0.517816
-86.5975 973.669      -86.1277 972.855      -0.469205 0.81454
-396.739 1240.91      -395.455 1240.17      -1.28386 0.740298
-129.94 192.633      -129.087 193.467      -0.852573 -0.833606
-80.0383 1516.82      -79.2867 1515.43      -0.751337 1.39754
-243.506 1079.61      -242.715 1079.14      -0.790563 0.468706
482.586 689.551      482.184 690.006      0.400059 -0.453844
-63.5452 995.14      -63.0823 995.027      -0.463205 0.112375
-386.683 327.453      -385.514 327.743      -1.16858 -0.290724
-674.823 744.48      -673.495 744.157      -1.32785 0.322418
502.272 854.648      502.208 854.762      0.0646089 -0.113518
848.621 764.666      847.679 764.962      0.941894 -0.296281
546.469 1131.83      546.419 1131.14      0.0501176 0.690036
1295.75 1174.9      1294.6 1174.08      1.15046 0.820473
-91.1187 803.195      -90.9491 802.507      -0.169348 0.687361
